算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数,下界
LBBD3.py,25-2-4-a10-i2.json,25,2,4,10,2,5188,5188,0,79,67.021,12.045,22.021,32.856,11,5188
LBBD3.py,25-2-5-a0.1-i2.json,25,2,5,0.1,2,5857,5335,0.089112412,614,600.516,0.125,100.963,60.174,17,5335
LBBD3.py,25-2-5-a1-i1.json,25,2,5,1,1,4899,4739,0.032659726,182,604.026,441.698,35.314,126.82,19,4741
LBBD3.py,25-3-3-a0.1-i2.json,25,3,3,0.1,2,5495,5314,0.032939035,142,605.178,506.888,36.794,61.301,16,5314
LBBD3.py,25-3-3-a1-i2.json,25,3,3,1,2,5596,5431,0.029485347,104,601.351,524.236,26.93,50.033,17,5432
LBBD3.py,25-3-4-a0.1-i1.json,25,3,4,0.1,1,4499,4442,0.012669482,136,603.231,496.91,34.919,71.213,16,4443
LBBD3.py,25-3-4-a1-i2.json,25,3,4,1,2,5235,5056,0.034192932,132,604.006,480.552,38.616,84.671,17,5057
LBBD3.py,25-3-5-a1-i1.json,25,3,5,1,1,4697,4691,0.001277411,198,607.527,483.03,51.36,72.9,19,4691
LBBD3.py,25-3-5-a1-i2.json,25,3,5,1,2,5741,5451,0.050513848,132,600.381,469.061,40.554,90.535,17,5454
LBBD3.py,25-4-3-a0.1-i1.json,25,4,3,0.1,1,4393,4393,0,136,602.18,506.071,43.775,52.144,15,4393
LBBD3.py,25-4-3-a1-i1.json,25,4,3,1,1,4271,4271,0,39,71.822,44.72,11.573,15.415,16,4271
LBBD3.py,25-4-4-a1-i1.json,25,4,4,1,1,4606,4606,0,163,336.809,224.673,58.112,53.766,16,4606
LBBD3.py,25-4-4-a1-i2.json,25,4,4,1,2,4990,4843,0.029458918,88,602.931,526.386,30.006,46.355,15,4847
LBBD3.py,25-4-5-a0.1-i2.json,25,4,5,0.1,2,5212,4787,0.081542594,99,606.692,496.588,35.302,74.602,16,4792
LBBD3.py,25-4-5-a1-i1.json,25,4,5,1,1,4556,4454,0.02238806,223,602.955,426.146,78.189,98.207,17,4459
LBBD3.py,30-3-6-a10-i3.json,30,3,6,10,3,5226,5226,0,6,4.525,0.613,2.176,1.641,15,5226
LBBD3.py,30-3-6-a100-i3.json,30,3,6,100,3,5218,5218,0,1,0.519,0.111,0.311,0,14,5218
LBBD3.py,30-3-7-a0.1-i3.json,30,3,7,0.1,3,6267,5201,0.170097335,314,1804.291,1180.432,204.696,418.722,23,5190
LBBD3.py,30-3-7-a100-i1.json,30,3,7,100,1,5184,5184,0,1,0.53,0.109,0.329,0,14,5184
LBBD3.py,30-3-8-a0.1-i1.json,30,3,8,0.1,1,6012,5864,0.024617432,307,1806.62,864.74,501.248,440.196,17,5857
LBBD3.py,30-3-8-a10-i3.json,30,3,8,10,3,5276,5276,0,19,41.685,3.554,21.651,16.345,16,5276
LBBD3.py,30-4-6-a1-i3.json,30,4,6,1,3,5505,4956,0.09972752,222,1815.697,1524.351,94.767,196.212,20,4942
LBBD3.py,30-4-6-a100-i3.json,30,4,6,100,3,4603,4603,0,1,2.15,0.129,1.892,0,12,4603
LBBD3.py,30-4-7-a0.1-i2.json,30,4,7,0.1,2,7364,6190,0.159424226,248,1807.972,1102.665,267.787,437.024,22,6185
LBBD3.py,30-4-7-a1-i2.json,30,4,7,1,2,7131,6183,0.132940682,248,1804.516,1121.857,273.319,408.801,20,6180
LBBD3.py,30-4-8-a1-i3.json,30,4,8,1,3,5559,5006,0.099478323,314,1804.139,1038.149,395.659,369.72,22,4999
LBBD3.py,30-4-8-a10-i3.json,30,4,8,10,3,4849,4849,0,165,303.105,77.063,138.485,86.988,15,4849
