算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,状态,目标值,下界,Gap,总求解时间(s),日志路径
MIBS,10-2-5-a0.1-i1.json,10,2,5,0.1,1,TerminationCondition.optimal,2244.0,2244.0,0.0,1.579,batch_test_results_custom/logs/mibs_10-2-5-a0.1-i1.json.log
MIBS,10-2-5-a0.1-i2.json,10,2,5,0.1,2,TerminationCondition.unknown,无,无,无,601.111,batch_test_results_custom/logs/mibs_10-2-5-a0.1-i2.json.log
MIBS,10-2-5-a0.1-i3.json,10,2,5,0.1,3,TerminationCondition.unknown,无,无,无,601.651,batch_test_results_custom/logs/mibs_10-2-5-a0.1-i3.json.log
MIBS,10-2-5-a1-i1.json,10,2,5,1.0,1,TerminationCondition.optimal,2244.0,2244.0,0.0,1.569,batch_test_results_custom/logs/mibs_10-2-5-a1-i1.json.log
MIBS,10-2-5-a1-i2.json,10,2,5,1.0,2,TerminationCondition.unknown,无,无,无,601.284,batch_test_results_custom/logs/mibs_10-2-5-a1-i2.json.log
MIBS,10-2-5-a1-i3.json,10,2,5,1.0,3,TerminationCondition.optimal,2200.0,2200.0,0.0,6.784,batch_test_results_custom/logs/mibs_10-2-5-a1-i3.json.log
MIBS,10-2-5-a10-i1.json,10,2,5,10.0,1,TerminationCondition.optimal,2244.0,2244.0,0.0,1.451,batch_test_results_custom/logs/mibs_10-2-5-a10-i1.json.log
MIBS,10-2-5-a10-i2.json,10,2,5,10.0,2,TerminationCondition.optimal,2165.0,2165.0,0.0,2.106,batch_test_results_custom/logs/mibs_10-2-5-a10-i2.json.log
MIBS,10-2-5-a10-i3.json,10,2,5,10.0,3,TerminationCondition.unknown,无,无,无,601.25,batch_test_results_custom/logs/mibs_10-2-5-a10-i3.json.log
MIBS,10-2-5-a100-i1.json,10,2,5,100.0,1,TerminationCondition.optimal,2244.0,2244.0,0.0,1.617,batch_test_results_custom/logs/mibs_10-2-5-a100-i1.json.log
MIBS,10-2-5-a100-i2.json,10,2,5,100.0,2,TerminationCondition.optimal,2165.0,2165.0,0.0,1.949,batch_test_results_custom/logs/mibs_10-2-5-a100-i2.json.log
MIBS,10-2-5-a100-i3.json,10,2,5,100.0,3,TerminationCondition.optimal,2140.0,2140.0,0.0,1.894,batch_test_results_custom/logs/mibs_10-2-5-a100-i3.json.log
MIBS,10-3-3-a0.1-i1.json,10,3,3,0.1,1,TerminationCondition.unknown,无,无,无,601.305,batch_test_results_custom/logs/mibs_10-3-3-a0.1-i1.json.log
MIBS,10-3-3-a0.1-i2.json,10,3,3,0.1,2,TerminationCondition.unknown,无,无,无,601.323,batch_test_results_custom/logs/mibs_10-3-3-a0.1-i2.json.log
