算法,实例名称,工件数,工厂数,工序数,Alpha,实例序号,目标值,下界,Gap,迭代次数,总求解时间(s),主问题时间(s),子问题阶段1时间(s),子问题阶段2时间(s),拒绝订单个数
LBBD3-BCH.py,30-4-7-a10-i3.json,30,4,7,10,3,4760,4760,0,152,264.615,0.053,71.379,45.224,15
LBBD3-BCH.py,30-4-7-a100-i1.json,30,4,7,100,1,5132,5132,0,5,2.261,0.003,0.974,0.925,15
LBBD3-BCH.py,30-4-7-a100-i2.json,30,4,7,100,2,5947,5947,0,5,3.009,0.001,1.622,1.051,8
LBBD3-BCH.py,30-4-7-a100-i3.json,30,4,7,100,3,4688,4688,0,6,2.894,0.002,1.52,1.043,15
LBBD3-BCH.py,30-4-8-a0.1-i1.json,30,4,8,0.1,1,6092,5347.75,0.122168418,665,1801.669,0.34,343.546,187.31,20
LBBD3-BCH.py,30-4-8-a0.1-i2.json,30,4,8,0.1,2,6109,5774.231836,0.054799176,273,1803.321,0.131,811.872,76.9,18
LBBD3-BCH.py,30-4-8-a0.1-i3.json,30,4,8,0.1,3,5117,4848,0.052569865,401,1800.506,0.189,798.882,112.58,19
LBBD3-BCH.py,30-4-8-a1-i1.json,30,4,8,1,1,6025,5361.5,0.110124481,672,1802.059,0.333,342.616,185.747,21
LBBD3-BCH.py,30-4-8-a1-i2.json,30,4,8,1,2,6053,5710.75,0.05654221,191,1807.827,0.089,999.937,56.105,17
LBBD3-BCH.py,30-4-8-a1-i3.json,30,4,8,1,3,5432,4865.333333,0.104320079,589,1802.069,0.258,584.047,169.376,20
LBBD3-BCH.py,30-4-8-a10-i1.json,30,4,8,10,1,5252,5252,1.04E-15,13,17.556,0.007,8.662,3.453,14
LBBD3-BCH.py,30-4-8-a10-i2.json,30,4,8,10,2,5800,5718.333333,0.01408046,237,1832.96,0.102,974.673,94.093,11
LBBD3-BCH.py,30-4-8-a10-i3.json,30,4,8,10,3,4849,4849,0,307,833.726,0.143,354.19,95.166,15
LBBD3-BCH.py,30-4-8-a100-i1.json,30,4,8,100,1,5225,5225,0,5,3.056,0.001,1.361,1.29,15
LBBD3-BCH.py,30-4-8-a100-i2.json,30,4,8,100,2,5643,5643,0,6,9.045,0.004,6.934,1.682,9
LBBD3-BCH.py,30-4-8-a100-i3.json,30,4,8,100,3,4744,4744,0,5,2.921,0.003,1.363,1.198,15
LBBD3-BCH.py,30-5-6-a0.1-i1.json,30,5,6,0.1,1,5824,5206.5,0.106026786,611,1800.415,0.287,268.546,204.833,20
LBBD3-BCH.py,30-5-6-a0.1-i2.json,30,5,6,0.1,2,6140,5777,0.059120521,627,1800.557,0.319,272.633,207.359,15
LBBD3-BCH.py,30-5-6-a0.1-i3.json,30,5,6,0.1,3,5395,4941.5,0.084059314,650,1801.931,0.325,356.845,223.47,20
LBBD3-BCH.py,30-5-6-a1-i1.json,30,5,6,1,1,5592,5182,0.073319027,666,1801.749,0.355,300.775,240.291,17
LBBD3-BCH.py,30-5-6-a1-i2.json,30,5,6,1,2,6354,5757.97929,0.093802441,640,1802.353,0.385,307.115,239.725,19
LBBD3-BCH.py,30-5-6-a1-i3.json,30,5,6,1,3,5109,4987.5,0.023781562,601,1802.308,0.317,424.303,242.295,17
LBBD3-BCH.py,30-5-6-a10-i1.json,30,5,6,10,1,5116,5116,0,26,34.582,0.011,10.618,9.05,15
LBBD3-BCH.py,30-5-6-a10-i2.json,30,5,6,10,2,5701,5701,0,97,157.84,0.045,51.291,32.251,12
LBBD3-BCH.py,30-5-6-a10-i3.json,30,5,6,10,3,4986,4986,0,393,803.76,0.194,247.505,149.077,15
LBBD3-BCH.py,30-5-6-a100-i1.json,30,5,6,100,1,5048,5048,0,4,2.911,0.002,1.256,1.141,12
LBBD3-BCH.py,30-5-6-a100-i2.json,30,5,6,100,2,5638,5638,0,5,3.384,0,1.558,1.355,12
LBBD3-BCH.py,30-5-6-a100-i3.json,30,5,6,100,3,4842,4842,0,5,3.452,0.002,1.655,1.39,13
LBBD3-BCH.py,30-5-7-a0.1-i1.json,30,5,7,0.1,1,5551,5129.311845,0.07596616,566,1805.217,0.31,561.067,196.35,17
LBBD3-BCH.py,30-5-7-a0.1-i2.json,30,5,7,0.1,2,5885,5747.25,0.023406967,716,1801.189,0.358,296.71,239.165,16
LBBD3-BCH.py,30-5-7-a0.1-i3.json,30,5,7,0.1,3,4595,4595,0,407,868.711,0.197,198.329,130.734,16
LBBD3-BCH.py,30-5-7-a1-i1.json,30,5,7,1,1,5714,5145,0.099579979,556,1800.352,0.332,524.253,163.769,18
LBBD3-BCH.py,30-5-7-a1-i2.json,30,5,7,1,2,6213,5690.90108,0.084033304,589,1802.256,0.359,265.321,184.259,19
LBBD3-BCH.py,30-5-7-a1-i3.json,30,5,7,1,3,5091,4511,0.113926537,696,1802.452,0.365,309.917,217.636,19
LBBD3-BCH.py,30-5-7-a10-i1.json,30,5,7,10,1,5145,5145,0,127,321.502,0.064,127.176,45.961,12
LBBD3-BCH.py,30-5-7-a10-i2.json,30,5,7,10,2,5581,5581,6.52E-16,9,6.619,0.006,2.672,2.412,13
LBBD3-BCH.py,30-5-7-a10-i3.json,30,5,7,10,3,4531,4531,0,447,910.859,0.236,283.144,157.252,15
LBBD3-BCH.py,30-5-7-a100-i1.json,30,5,7,100,1,5019,5019,0,5,4.084,0.002,2.094,1.553,11
LBBD3-BCH.py,30-5-7-a100-i2.json,30,5,7,100,2,5563,5563,0,5,2.845,0.001,1.243,1.128,13
LBBD3-BCH.py,30-5-7-a100-i3.json,30,5,7,100,3,4342,4342,0,5,41.08,0.001,15.476,25.064,15
LBBD3-BCH.py,30-5-8-a0.1-i1.json,30,5,8,0.1,1,5451,5112.166667,0.062159848,597,1804.212,0.445,399.326,218.961,17
LBBD3-BCH.py,30-5-8-a0.1-i2.json,30,5,8,0.1,2,5882,5419.666667,0.078601383,590,1800.47,0.391,330.812,217.553,18
LBBD3-BCH.py,30-5-8-a0.1-i3.json,30,5,8,0.1,3,5201,4742.485714,0.088158871,694,1801.115,0.448,303.315,229.961,20
LBBD3-BCH.py,30-5-8-a1-i1.json,30,5,8,1,1,5878,5121.5,0.128700238,578,1800.962,0.384,363.888,210.253,19
LBBD3-BCH.py,30-5-8-a1-i2.json,30,5,8,1,2,6210,5401.5,0.130193237,536,1801.268,0.355,281.716,195.155,21
LBBD3-BCH.py,30-5-8-a1-i3.json,30,5,8,1,3,4979,4751.5,0.045691906,741,1800.361,0.465,340.209,262.127,19
LBBD3-BCH.py,30-5-8-a10-i1.json,30,5,8,10,1,4978,4978,0,9,8.395,0.004,3.243,2.511,12
LBBD3-BCH.py,30-5-8-a10-i2.json,30,5,8,10,2,5336,5336,1.02E-15,19,19.22,0.009,7.551,6.421,12
LBBD3-BCH.py,30-5-8-a10-i3.json,30,5,8,10,3,4639,4639,0,45,50.178,0.022,15.984,14.64,16
LBBD3-BCH.py,30-5-8-a100-i1.json,30,5,8,100,1,4976,4976,0,5,3.794,0.002,1.71,1.553,12
LBBD3-BCH.py,30-5-8-a100-i2.json,30,5,8,100,2,5296,5296,0,5,3.752,0.001,1.722,1.541,12
LBBD3-BCH.py,30-5-8-a100-i3.json,30,5,8,100,3,4569,4569,0,5,3.887,0.001,1.6,1.486,17
LBBD3-BCH.py,50-3-6-a0.1-i1.json,50,3,6,0.1,1,9572,8216.979167,0.141560889,578,1801.208,0.281,265.45,141.034,40
LBBD3-BCH.py,50-3-6-a0.1-i2.json,50,3,6,0.1,2,11625,9394.04771,0.191909874,300,1810.244,0.154,509,76.059,42
LBBD3-BCH.py,50-3-6-a0.1-i3.json,50,3,6,0.1,3,11655,9433.029816,0.190645232,313,1803.298,0.186,509.247,80.048,39
LBBD3-BCH.py,50-3-6-a1-i1.json,50,3,6,1,1,9627,8265.025431,0.141474454,523,1800.913,0.264,257.258,135.785,40
LBBD3-BCH.py,50-3-6-a1-i2.json,50,3,6,1,2,11812,9390.401025,0.205011766,284,1806.499,0.131,528.568,60.672,44
LBBD3-BCH.py,50-3-6-a1-i3.json,50,3,6,1,3,11743,9449,0.195350422,339,1812.517,0.165,497.067,74.539,43
LBBD3-BCH.py,50-3-6-a10-i1.json,50,3,6,10,1,9003,8200,0.089192491,305,1801.278,0.138,231.735,68.049,36
LBBD3-BCH.py,50-3-6-a10-i2.json,50,3,6,10,2,9392,9392,0,111,670.335,0.049,238.436,36.415,27
LBBD3-BCH.py,50-3-6-a10-i3.json,50,3,6,10,3,10200,9364,0.081960784,237,1805.23,0.107,447.96,55.222,33
