instance,N_whale,a_decay,b,objective,time,status
50-5-6-a10-i1.json,80,linear,1.0,11529.0,299.04017639160156,success
50-5-6-a10-i1.json,80,linear,1.5,11529.0,299.00133323669434,success
50-5-6-a10-i1.json,80,sqrt,1.0,11468.0,299.01318883895874,success
50-5-6-a10-i1.json,80,sqrt,1.5,11450.0,299.03848242759705,success
50-5-7-a1-i2.json,30,linear,1.0,13110.0,299.91482162475586,success
50-5-7-a1-i2.json,30,linear,1.5,13110.0,299.26040291786194,success
50-5-7-a1-i2.json,30,sqrt,1.0,12732.0,299.0226366519928,success
50-5-7-a1-i2.json,30,sqrt,1.5,13110.0,299.2916250228882,success
50-5-7-a1-i2.json,50,linear,1.0,13110.0,300.04491925239563,success
50-5-7-a1-i2.json,50,linear,1.5,13110.0,299.33634543418884,success
50-5-7-a1-i2.json,50,sqrt,1.0,13110.0,299.5383324623108,success
50-5-7-a1-i2.json,50,sqrt,1.5,13110.0,299.89523673057556,success
50-5-7-a1-i2.json,80,linear,1.0,13110.0,300.0178270339966,success
50-5-7-a1-i2.json,80,linear,1.5,13110.0,299.19225788116455,success
50-5-7-a1-i2.json,80,sqrt,1.0,13110.0,299.1489703655243,success
50-5-7-a1-i2.json,80,sqrt,1.5,13110.0,299.49698972702026,success
50-5-8-a0.1-i1.json,30,linear,1.0,11840.0,299.75575709342957,success
50-5-8-a0.1-i1.json,30,linear,1.5,11840.0,300.02903985977173,success
50-5-8-a0.1-i1.json,30,sqrt,1.0,11840.0,299.1780378818512,success
50-5-8-a0.1-i1.json,30,sqrt,1.5,11840.0,299.628858089447,success
50-5-8-a0.1-i1.json,50,linear,1.0,11840.0,299.6271755695343,success
50-5-8-a0.1-i1.json,50,linear,1.5,11840.0,299.19667077064514,success
