instance,O,P,Q,l_max,objective,time,status
50-4-6-a10-i1.json,0,0,0,8,10842.0,299.0148913860321,success
50-4-6-a10-i1.json,0,0,1,2,10630.0,299.0158472061157,success
50-4-6-a10-i1.json,0,0,1,5,10859.0,299.00307035446167,success
50-4-6-a10-i1.json,0,0,1,8,10842.0,299.0239508152008,success
50-4-6-a10-i1.json,1,0,0,2,1012603.0,299.03726983070374,success
50-4-6-a10-i1.json,1,0,0,5,1013006.0,299.2560667991638,success
50-4-6-a10-i1.json,1,0,0,8,1011754.0,299.74194288253784,success
50-4-6-a10-i1.json,1,0,1,2,1012603.0,299.1847245693207,success
50-4-6-a10-i1.json,1,0,1,5,1013006.0,299.6919252872467,success
50-4-6-a10-i1.json,1,0,1,8,1011754.0,299.41395020484924,success
50-4-7-a1-i3.json,0,0,0,2,12323.0,299.013130903244,success
50-4-7-a1-i3.json,0,0,0,5,12620.0,299.01266956329346,success
50-4-7-a1-i3.json,0,0,0,8,12466.0,299.02281069755554,success
50-4-7-a1-i3.json,0,0,1,2,12323.0,299.035117149353,success
50-4-7-a1-i3.json,0,0,1,5,12620.0,299.00971841812134,success
50-4-7-a1-i3.json,0,0,1,8,12466.0,299.0116534233093,success
50-4-7-a1-i3.json,1,0,0,2,4009073.0,299.74727034568787,success
50-4-7-a1-i3.json,1,0,0,5,4009073.0,299.54448533058167,success
50-4-7-a1-i3.json,1,0,0,8,4009073.0,299.92702436447144,success
50-4-7-a1-i3.json,1,0,1,2,4009073.0,299.18251395225525,success
50-4-7-a1-i3.json,1,0,1,5,4009073.0,299.2861850261688,success
50-4-7-a1-i3.json,1,0,1,8,4009073.0,299.8990738391876,success
50-4-8-a100-i2.json,0,0,0,2,12179.0,299.0102684497833,success
50-4-8-a100-i2.json,0,0,0,5,11190.0,299.0301249027252,success
50-4-8-a100-i2.json,0,0,0,8,12328.0,299.0070104598999,success
50-4-8-a100-i2.json,0,0,1,2,12179.0,299.00225949287415,success
50-4-8-a100-i2.json,0,0,1,5,11190.0,299.00654315948486,success
50-4-8-a100-i2.json,0,0,1,8,12328.0,299.0018141269684,success
50-4-8-a100-i2.json,1,0,0,2,12597.0,299.5346145629883,success
50-4-8-a100-i2.json,1,0,0,5,12597.0,299.0138862133026,success
50-4-8-a100-i2.json,1,0,0,8,12597.0,299.92893981933594,success
50-4-8-a100-i2.json,1,0,1,2,12597.0,299.4424510002136,success
50-4-8-a100-i2.json,1,0,1,5,12597.0,299.0254786014557,success
50-4-8-a100-i2.json,1,0,1,8,12597.0,302.47676825523376,success
50-5-6-a10-i1.json,0,0,0,2,11052.0,299.0021698474884,success
50-5-6-a10-i1.json,0,0,0,5,10549.0,300.12960147857666,success
50-5-6-a10-i1.json,0,0,0,8,10549.0,299.01679277420044,success
50-5-6-a10-i1.json,0,0,1,2,11052.0,299.0218915939331,success
50-5-6-a10-i1.json,0,0,1,5,10549.0,299.01635575294495,success
50-5-6-a10-i1.json,0,0,1,8,10549.0,299.0209844112396,success
50-5-6-a10-i1.json,1,0,0,2,1011722.0,299.7196526527405,success
50-5-6-a10-i1.json,1,0,0,5,1012995.0,299.02266788482666,success
50-5-6-a10-i1.json,1,0,0,8,1013571.0,299.00980138778687,success
50-5-6-a10-i1.json,1,0,1,2,1011722.0,299.11506271362305,success
50-5-6-a10-i1.json,1,0,1,5,1012995.0,299.00622963905334,success
50-5-6-a10-i1.json,1,0,1,8,1013571.0,299.24847650527954,success
50-5-7-a1-i2.json,0,0,0,2,12079.0,299.0105700492859,success
50-5-7-a1-i2.json,0,0,0,5,12135.0,299.0238699913025,success
50-5-7-a1-i2.json,0,0,0,8,12047.0,299.0126483440399,success
50-5-7-a1-i2.json,0,0,1,2,12079.0,299.0272419452667,success
50-5-7-a1-i2.json,0,0,1,5,12135.0,299.02149176597595,success
50-5-7-a1-i2.json,0,0,1,8,12047.0,299.0189037322998,success
50-5-7-a1-i2.json,1,0,0,2,3012390.0,299.0061891078949,success
50-5-7-a1-i2.json,1,0,0,5,3014054.0,299.0286946296692,success
50-5-7-a1-i2.json,1,0,0,8,4011190.0,302.0167727470398,success
50-5-7-a1-i2.json,1,0,1,2,3012390.0,299.3725049495697,success
50-5-7-a1-i2.json,1,0,1,5,3014054.0,299.04367852211,success
